,code,tradeStatus,code_name
977,sh.600891,1,*ST秋林
978,sh.600892,1,大晟文化
979,sh.600893,1,航发动力
980,sh.600894,1,广日股份
981,sh.600895,1,张江高科
982,sh.600896,1,览海投资
983,sh.600897,1,厦门空港
984,sh.600898,1,国美通讯
985,sh.600900,1,长江电力
986,sh.600901,1,江苏租赁
987,sh.600903,1,贵州燃气
988,sh.600908,1,无锡银行
989,sh.600909,1,华安证券
990,sh.600917,1,重庆燃气
991,sh.600919,1,江苏银行
992,sh.600926,1,杭州银行
993,sh.600929,1,湖南盐业
994,sh.600933,1,爱柯迪
995,sh.600936,1,广西广电
996,sh.600939,1,重庆建工
997,sh.600958,1,东方证券
998,sh.600959,1,江苏有线
999,sh.600960,1,渤海汽车
1000,sh.600961,1,株冶集团
1001,sh.600962,1,国投中鲁
1002,sh.600963,1,岳阳林纸
1003,sh.600965,1,福成股份
1004,sh.600966,1,博汇纸业
1005,sh.600967,1,内蒙一机
1006,sh.600969,1,郴电国际
1007,sh.600970,1,中材国际
1008,sh.600971,1,恒源煤电
1009,sh.600973,1,宝胜股份
1010,sh.600975,1,新五丰
1011,sh.600976,1,健民集团
1012,sh.600977,1,中国电影
1013,sh.600978,1,宜华生活
1014,sh.600979,1,广安爱众
1015,sh.600980,1,北矿科技
1016,sh.600981,1,汇鸿集团
1017,sh.600982,1,宁波热电
1018,sh.600983,1,惠而浦
1019,sh.600984,1,建设机械
1020,sh.600985,1,淮北矿业
1021,sh.600986,1,科达股份
1022,sh.600987,1,航民股份
1023,sh.600988,1,赤峰黄金
1024,sh.600990,1,四创电子
1025,sh.600992,1,贵绳股份
1026,sh.600993,1,马应龙
1027,sh.600995,1,文山电力
1028,sh.600996,1,贵广网络
1029,sh.600997,1,开滦股份
1030,sh.600998,1,九州通
1031,sh.600999,1,招商证券
1032,sh.601000,1,唐山港
1033,sh.601001,1,大同煤业
1034,sh.601002,1,晋亿实业
1035,sh.601003,1,柳钢股份
1036,sh.601005,1,重庆钢铁
